RollNo,Name,Maths_Marks,Social_Marks,Telugu_Marks,English_Marks,Science_Marks
1,Alice,88,95,91,87,92
2,Bob,78,40,75,82,83
3,Charlie,90,94,89,88,91
4,David,44,79,30,45,40
5,Eva,91,92,93,89,89
6,Frank,35,75,74,78,40
7,Grace,92,83,95,88,94
8,Hannah,85,81,86,90,89
9,Isaac,79,40,80,84,77
10,Jack,87,100,85,92,90
11,Kate,95,89,88,93,91
12,Liam,50,80,40,78,85
13,Mona,86,84,55,82,89
14,Nate,80,45,78,79,82
15,Olivia,93,98,91,85,95
16,Paul,43,72,40,80,30
17,Quinn,81,83,90,85,90
18,Rachel,89,87,88,91,92
19,Sam,85,50,83,40,86
20,Tina,91,88,91,87,94
21,Uma,44,75,34,78,79
22,Victor,92,84,80,96,87
23,Will,88,87,86,93,90
24,Xander,40,40,78,81,40
25,Yara,84,85,30,88,92
26,Zara,91,92,93,98,95
27,Abel,30,20,70,77,40
28,Bella,92,80,81,94,86
29,Carl,87,90,88,92,93
30,Diana,44,86,30,90,88
